Starting pid: 17668@DESKTOP-5SNUBJS
GC name:Copy
GC name:MarkSweepCompact
new size:2000000
start:2438 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(35 ms)
start:2947 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(44 ms)
start:3388 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(20 ms)
start:3821 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(28 ms)
start:4191 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(36 ms)
start:4589 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(24 ms)
start:4786 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(25 ms)
start:4985 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(31 ms)
start:5203 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(23 ms)
start:5406 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(35 ms)
start:5627 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(26 ms)
start:5843 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(30 ms)
start:6063 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(30 ms)
start:6267 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(25 ms)
start:6466 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(24 ms)
start:6661 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(25 ms)
start:6868 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(25 ms)
start:7068 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(28 ms)
start:7260 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(25 ms)
start:7455 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(23 ms)
start:7663 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(24 ms)
start:7865 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(28 ms)
start:8075 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(25 ms)
start:8291 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(29 ms)
start:8549 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(24 ms)
start:8738 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(24 ms)
start:8954 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(25 ms)
start:9161 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(25 ms)
start:9348 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(26 ms)
start:9541 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(26 ms)
start:9734 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(27 ms)
start:9929 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(26 ms)
start:10138 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(24 ms)
start:10332 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(29 ms)
start:10537 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(30 ms)
start:10919 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(30 ms)
start:11131 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(26 ms)
start:11334 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(25 ms)
start:11544 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(30 ms)
start:11804 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(41 ms)
start:12216 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(62 ms)
start:12675 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(27 ms)
start:13258 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(29 ms)
start:13626 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(36 ms)
start:13950 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(30 ms)
start:14215 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(32 ms)
start:14508 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(30 ms)
start:15242 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(41 ms)
start:15606 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(36 ms)
start:15949 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(36 ms)
start:16419 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(39 ms)
start:16798 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(35 ms)
start:17154 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(34 ms)
start:17687 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(37 ms)
start:18161 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(37 ms)
start:18426 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(26 ms)
start:18628 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(32 ms)
