Starting pid: 20256@DESKTOP-5SNUBJS
GC name:Copy
GC name:MarkSweepCompact
new size:2000000
start:67677 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(101 ms)
start:68468 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(119 ms)
start:69278 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(96 ms)
start:70178 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(72 ms)
start:70931 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(96 ms)
start:71703 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(95 ms)
start:72442 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(101 ms)
start:73205 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(98 ms)
start:74137 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(98 ms)
start:74900 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(94 ms)
start:75671 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(104 ms)
start:76586 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(113 ms)
start:77344 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(84 ms)
start:78116 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(72 ms)
start:78844 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(94 ms)
start:79614 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(100 ms)
start:80409 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(0 ms)
start:80410 Name:MarkSweepCompact, action:end of major GC, gcCause:Allocation Failure(646 ms)
start:81721 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(51 ms)
start:82430 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(60 ms)
start:83161 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(74 ms)
start:83914 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(96 ms)
start:84685 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(100 ms)
start:85460 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(78 ms)
start:86221 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(77 ms)
start:86955 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(85 ms)
start:87718 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(97 ms)
start:88537 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(87 ms)
start:89316 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(93 ms)
start:90085 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(96 ms)
start:90856 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(87 ms)
start:91607 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(99 ms)
start:92409 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(97 ms)
start:93178 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(82 ms)
start:93946 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(74 ms)
start:94721 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(91 ms)
start:95490 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(92 ms)
start:96250 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(97 ms)
start:97014 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(86 ms)
start:97800 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(86 ms)
start:98582 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(90 ms)
start:99318 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(96 ms)
start:100052 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(99 ms)
start:100829 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(82 ms)
start:101574 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(74 ms)
start:102309 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(86 ms)
start:103046 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(89 ms)
start:103815 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(87 ms)
start:104582 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(88 ms)
start:105352 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(88 ms)
start:106156 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(107 ms)
start:107049 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(97 ms)
start:107830 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(95 ms)
start:108591 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(79 ms)
start:109351 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(73 ms)
start:110103 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(101 ms)
start:110912 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(87 ms)
start:111650 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(102 ms)
start:112428 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(88 ms)
start:113191 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(92 ms)
start:113964 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(94 ms)
start:114714 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(96 ms)
start:115499 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(89 ms)
start:116254 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(78 ms)
start:116979 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(89 ms)
start:117746 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(89 ms)
start:118487 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(87 ms)
start:119262 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(90 ms)
start:119999 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(93 ms)
start:120748 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(92 ms)
start:121560 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(99 ms)
start:122334 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(98 ms)
start:123105 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(78 ms)
start:123891 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(78 ms)
start:124622 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(90 ms)
start:125398 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(99 ms)
start:126159 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(89 ms)
start:126913 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(86 ms)
start:127697 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(90 ms)
