Starting pid: 3196@DESKTOP-5SNUBJS
GC name:Copy
GC name:MarkSweepCompact
new size:2000000
start:2275 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(42 ms)
start:2827 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(43 ms)
start:3312 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(21 ms)
start:3728 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(28 ms)
start:4234 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(34 ms)
start:4645 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(36 ms)
[5.044s][error][attach] failure writing result of operation jcmd to pipe \\.\pipe\javatool-747686673
start:5083 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(34 ms)
start:5569 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(27 ms)
start:5805 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(24 ms)
start:5984 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(24 ms)
start:6172 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(25 ms)
start:6396 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(29 ms)
start:6874 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(32 ms)
start:7260 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(35 ms)
start:7551 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(32 ms)
start:7822 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(27 ms)
start:8199 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(32 ms)
start:8453 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(26 ms)
start:8660 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(26 ms)
start:8875 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(25 ms)
start:9075 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(25 ms)
start:9286 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(25 ms)
start:9512 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(26 ms)
start:9716 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(23 ms)
start:9920 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(26 ms)
start:10120 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(23 ms)
start:10327 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(26 ms)
start:10524 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(25 ms)
start:10749 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(24 ms)
start:10956 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(29 ms)
start:11153 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(29 ms)
