Starting pid: 18492@DESKTOP-5SNUBJS
GC name:Copy
GC name:MarkSweepCompact
new size:2000000
start:2166 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(43 ms)
start:2682 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(46 ms)
start:3183 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(21 ms)
start:3630 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(33 ms)
start:4154 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(42 ms)
start:4580 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(41 ms)
[4.926s][error][attach] failure writing result of operation jcmd to pipe \\.\pipe\javatool773586770
start:4976 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(27 ms)
start:5269 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(25 ms)
start:5497 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(29 ms)
start:5701 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(27 ms)
start:5906 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(31 ms)
start:6272 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(38 ms)
start:6534 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(32 ms)
start:6919 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(29 ms)
start:7200 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(31 ms)
start:7591 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(35 ms)
start:7898 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(33 ms)
start:8132 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(29 ms)
start:8359 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(28 ms)
start:8572 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(26 ms)
start:8784 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(26 ms)
start:8995 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(26 ms)
start:9234 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(27 ms)
start:9453 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(25 ms)
start:9669 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(27 ms)
start:9903 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(28 ms)
start:10160 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(30 ms)
start:10465 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(25 ms)
start:10681 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(24 ms)
start:10894 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(29 ms)
start:11125 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(31 ms)
start:11367 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(25 ms)
start:11571 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(31 ms)
start:11790 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(26 ms)
start:12007 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(28 ms)
start:12233 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(25 ms)
start:12439 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(27 ms)
start:12645 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(23 ms)
start:12862 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(26 ms)
start:13077 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(23 ms)
start:13307 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(35 ms)
start:13525 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(37 ms)
start:13741 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(15 ms)
start:13939 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(23 ms)
start:14143 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(26 ms)
start:14403 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(24 ms)
start:14609 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(24 ms)
start:14799 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(25 ms)
start:14997 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(29 ms)
start:15223 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(24 ms)
start:15424 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(28 ms)
start:15633 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(24 ms)
start:15841 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(24 ms)
start:16044 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(29 ms)
start:16330 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(26 ms)
start:16541 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(24 ms)
start:16737 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(27 ms)
start:16947 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(26 ms)
start:17161 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(24 ms)
start:17360 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(27 ms)
start:17561 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(23 ms)
start:17777 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(26 ms)
start:17989 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(30 ms)
start:18274 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(31 ms)
start:18482 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(24 ms)
start:18680 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(27 ms)
start:18882 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(24 ms)
start:19096 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(27 ms)
start:19297 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(29 ms)
start:19499 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(24 ms)
start:19696 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(25 ms)
start:19888 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(27 ms)
start:20098 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(29 ms)
start:20304 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(22 ms)
start:20502 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(24 ms)
start:20705 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(23 ms)
start:20905 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(24 ms)
start:21114 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(23 ms)
start:21310 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(25 ms)
start:21516 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(34 ms)
start:21719 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(41 ms)
start:21925 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(16 ms)
start:22135 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(18 ms)
start:22344 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(28 ms)
