Starting pid: 6152@DESKTOP-5SNUBJS
GC name:G1 Young Generation
GC name:G1 Old Generation
new size:2000000
start:2205 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(14 ms)
start:3002 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(11 ms)
start:3620 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(18 ms)
start:4319 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:4808 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(29 ms)
start:5329 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:5747 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:6472 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(36 ms)
start:7129 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(48 ms)
start:8071 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(53 ms)
start:8868 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(63 ms)
start:10031 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(77 ms)
start:11090 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(88 ms)
start:12130 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(84 ms)
start:13990 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(121 ms)
start:15661 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(137 ms)
start:16918 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(125 ms)
start:18428 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(116 ms)
start:20045 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(115 ms)
start:21588 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(145 ms)
start:23253 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(122 ms)
start:24858 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(129 ms)
start:26515 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(125 ms)
start:28155 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(126 ms)
start:29779 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(125 ms)
start:31420 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(127 ms)
start:33053 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(125 ms)
start:34805 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(124 ms)
start:36477 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(128 ms)
start:38117 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(129 ms)
start:39733 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(126 ms)
start:41298 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(121 ms)
start:42831 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(126 ms)
start:44368 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(122 ms)
start:45791 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(115 ms)
start:47211 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(110 ms)
start:48572 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(106 ms)
start:49906 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(107 ms)
start:51235 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(99 ms)
start:52507 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(99 ms)
start:53768 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(95 ms)
start:54979 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(93 ms)
start:56137 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(90 ms)
start:57297 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(89 ms)
start:58432 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(86 ms)
start:59566 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(88 ms)
start:59710 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(65 ms)
start:61392 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(48 ms)
start:63048 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(74 ms)
start:64629 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(102 ms)
start:66238 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(126 ms)
start:67880 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(129 ms)
start:69502 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(122 ms)
start:71143 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(122 ms)
start:72792 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(122 ms)
start:74438 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(122 ms)
start:76068 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(125 ms)
start:77722 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(126 ms)
start:79409 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(122 ms)
start:81055 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(121 ms)
start:82688 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(122 ms)
start:84328 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(122 ms)
start:85915 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(123 ms)
start:87521 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(119 ms)
start:89064 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(118 ms)
start:90577 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(115 ms)
start:92024 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(112 ms)
start:93421 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(109 ms)
start:94844 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(106 ms)
start:96183 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(104 ms)
start:97484 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(101 ms)
start:98778 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(100 ms)
start:100061 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(98 ms)
start:101269 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(93 ms)
start:102450 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(91 ms)
start:103608 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(88 ms)
start:104737 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(87 ms)
start:105891 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(92 ms)
