Starting pid: 2260@DESKTOP-5SNUBJS
GC name:Copy
GC name:MarkSweepCompact
new size:2000000
start:6309 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(140 ms)
start:9069 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(185 ms)
start:10935 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(207 ms)
start:12771 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(254 ms)
start:14917 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(312 ms)
start:16948 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(250 ms)
start:18914 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(231 ms)
start:20865 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(250 ms)
start:22816 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(259 ms)
start:24875 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(234 ms)
start:26980 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(244 ms)
start:28933 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(257 ms)
start:30910 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(244 ms)
start:32918 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(243 ms)
start:34912 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(229 ms)
start:36898 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(243 ms)
start:38853 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(244 ms)
start:40856 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(260 ms)
start:42927 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(238 ms)
start:44934 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(17 ms)
start:46687 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(121 ms)
start:48573 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(151 ms)
start:50492 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(186 ms)
start:52466 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(27 ms)
start:54276 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(126 ms)
start:56287 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(152 ms)
start:58134 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(207 ms)
start:60049 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(31 ms)
start:61819 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(124 ms)
start:63671 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(158 ms)
start:65551 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(205 ms)
start:67445 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(39 ms)
start:69175 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(129 ms)
start:71024 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(162 ms)
start:73188 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(233 ms)
start:75240 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(247 ms)
start:77199 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(234 ms)
start:79174 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(247 ms)
start:81166 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(237 ms)
start:83174 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(249 ms)
start:85199 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(263 ms)
start:87286 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(247 ms)
start:89292 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(231 ms)
start:91299 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(267 ms)
start:93332 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(252 ms)
start:95320 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(239 ms)
start:97293 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(245 ms)
start:99231 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(241 ms)
start:101185 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(235 ms)
start:103170 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(243 ms)
start:105166 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(237 ms)
start:107141 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(238 ms)
start:109186 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(263 ms)
start:111300 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(251 ms)
start:113428 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(308 ms)
start:115939 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(245 ms)
start:117885 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(244 ms)
start:119873 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(233 ms)
start:121819 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(247 ms)
start:123837 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(246 ms)
start:125806 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(244 ms)
start:127798 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(243 ms)
start:129754 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(241 ms)
start:131754 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(250 ms)
start:133714 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(244 ms)
