Starting pid: 19664@DESKTOP-5SNUBJS
GC name:G1 Young Generation
GC name:G1 Old Generation
new size:2000000
start:4457 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(15 ms)
start:4840 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(19 ms)
start:5201 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(26 ms)
start:5563 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(34 ms)
start:5897 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(27 ms)
start:6401 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(29 ms)
start:7184 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:7580 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(38 ms)
start:7991 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(44 ms)
start:8676 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(47 ms)
start:9376 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(48 ms)
start:10154 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(52 ms)
start:10936 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(60 ms)
start:12840 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(100 ms)
start:14569 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(138 ms)
start:15803 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(151 ms)
start:17459 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(128 ms)
start:19210 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(182 ms)
start:20416 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(159 ms)
start:21750 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(84 ms)
start:23028 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(108 ms)
start:24642 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(106 ms)
start:26114 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(133 ms)
start:27703 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(122 ms)
start:29324 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(128 ms)
start:31251 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(134 ms)
start:33027 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(138 ms)
start:35926 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(191 ms)
start:37671 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(198 ms)
start:39491 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(165 ms)
start:41362 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(168 ms)
start:43336 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(155 ms)
start:45430 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(166 ms)
start:47555 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(182 ms)
start:49745 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(176 ms)
start:51776 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(179 ms)
start:53967 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(181 ms)
start:56193 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(185 ms)
start:58413 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(181 ms)
start:60584 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(188 ms)
start:62784 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(184 ms)
start:65025 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(186 ms)
start:67169 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(190 ms)
start:69363 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(190 ms)
start:71566 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(189 ms)
start:73917 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(191 ms)
start:76135 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(188 ms)
start:78381 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(188 ms)
start:80673 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(196 ms)
start:82923 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(187 ms)
start:85232 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(190 ms)
start:87497 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(227 ms)
start:89591 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(196 ms)
start:91719 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(184 ms)
start:94000 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(186 ms)
start:96268 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(188 ms)
start:98553 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(193 ms)
start:100875 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(197 ms)
start:103144 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(193 ms)
start:105437 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(192 ms)
start:107741 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(195 ms)
start:110075 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(196 ms)
start:112352 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(195 ms)
start:114722 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(195 ms)
start:117059 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(196 ms)
start:119405 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(197 ms)
start:121790 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(198 ms)
start:124130 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(203 ms)
start:126467 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(200 ms)
start:128362 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(141 ms)
start:128685 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(126 ms)
start:131262 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(81 ms)
start:133569 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(120 ms)
start:135869 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(159 ms)
start:138012 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(199 ms)
start:140106 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(183 ms)
start:142279 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(188 ms)
start:144477 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(177 ms)
start:146703 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(188 ms)
start:149024 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(186 ms)
start:151351 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(190 ms)
start:153633 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(183 ms)
start:155843 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(186 ms)
start:158113 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(181 ms)
start:160380 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(184 ms)
start:163590 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(193 ms)
start:165935 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(185 ms)
start:168185 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(186 ms)
start:170521 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(190 ms)
start:172847 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(186 ms)
start:175174 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(194 ms)
start:177675 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(205 ms)
start:180155 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(194 ms)
start:182848 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(206 ms)
start:185379 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(195 ms)
start:187753 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(194 ms)
start:190476 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(195 ms)
start:193266 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(187 ms)
start:195799 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(201 ms)
start:198299 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(202 ms)
start:200692 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(199 ms)
start:202993 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(190 ms)
start:205440 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(193 ms)
start:207796 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(200 ms)
start:210215 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(195 ms)
start:212591 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(196 ms)
start:214951 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(194 ms)
start:217362 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(193 ms)
start:219724 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(199 ms)
start:222141 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(199 ms)
start:224649 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(205 ms)
start:227079 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(202 ms)
start:229421 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(197 ms)
start:231786 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(196 ms)
start:234188 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(195 ms)
start:236530 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(195 ms)
start:238738 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(111 ms)
start:239050 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(110 ms)
start:242466 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(112 ms)
start:245090 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(143 ms)
start:247503 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(183 ms)
start:249805 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(222 ms)
start:251703 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(190 ms)
start:253616 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(188 ms)
start:255638 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(162 ms)
start:257625 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(164 ms)
start:259663 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(167 ms)
start:261853 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(169 ms)
start:264007 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(177 ms)
start:266231 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(176 ms)
start:268633 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(443 ms)
start:269434 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(127 ms)
start:270238 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(25 ms)
start:271029 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(53 ms)
start:271910 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(59 ms)
start:272861 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(76 ms)
start:273911 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(95 ms)
start:275167 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(118 ms)
start:276406 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(111 ms)
start:277753 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(122 ms)
start:279156 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(125 ms)
start:280563 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(132 ms)
start:282210 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(135 ms)
start:283943 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(132 ms)
start:285735 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(163 ms)
start:287593 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(141 ms)
start:289579 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(162 ms)
start:291434 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(151 ms)
start:293311 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(150 ms)
start:295312 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(151 ms)
start:297279 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(156 ms)
start:299313 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(165 ms)
start:301404 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(169 ms)
start:303469 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(159 ms)
start:305673 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(193 ms)
start:307839 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(180 ms)
start:310057 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(173 ms)
start:312102 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(172 ms)
start:314193 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(188 ms)
start:316405 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(173 ms)
start:318543 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(169 ms)
start:320755 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(176 ms)
start:323019 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(184 ms)
start:325477 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(185 ms)
start:327611 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(189 ms)
start:329917 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(184 ms)
start:332321 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(194 ms)
start:334654 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(179 ms)
start:336912 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(182 ms)
start:339186 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(188 ms)
start:341486 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(201 ms)
start:343828 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(190 ms)
start:346206 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(196 ms)
start:348612 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(211 ms)
start:350924 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(194 ms)
start:353159 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(181 ms)
start:355832 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(189 ms)
start:356156 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Humongous Allocation(146 ms)
start:358102 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(61 ms)
